,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,administrative_area_level_1,administrative_area_level_2,population,iso_alpha_3,iso_alpha_2,key_jhu_csse,key_gadm
0,2020-02-25,1,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
1,2020-02-26,1,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
2,2020-02-27,1,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
3,2020-02-28,2,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
4,2020-02-29,2,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
5,2020-03-01,2,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
6,2020-03-02,2,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
7,2020-03-03,2,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
8,2020-03-04,3,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
9,2020-03-05,6,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
10,2020-03-06,10,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
11,2020-03-07,13,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
12,2020-03-08,16,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
13,2020-03-09,16,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
14,2020-03-10,19,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
15,2020-03-11,30,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
16,2020-03-12,46,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
17,2020-03-13,56,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
18,2020-03-14,65,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
19,2020-03-15,136,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
20,2020-03-16,152,0,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
21,2020-03-17,164,1,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
22,2020-03-18,241,4,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
23,2020-03-19,286,5,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
24,2020-03-20,396,9,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
25,2020-03-21,459,15,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
26,2020-03-22,631,22,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
27,2020-03-23,745,30,,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
28,2020-03-24,810,40,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
29,2020-03-25,862,48,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
30,2020-03-26,1053,58,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
31,2020-03-27,1223,68,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
32,2020-03-28,1406,84,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
33,2020-03-29,1451,98,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
34,2020-03-30,1517,113,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
35,2020-03-31,2339,136,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
36,2020-04-01,2981,164,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
37,2020-04-02,3506,188,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
38,2020-04-03,4048,219,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
39,2020-04-04,4466,260,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
40,2020-04-05,4620,275,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
41,2020-04-06,4866,304,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
42,2020-04-07,5682,371,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
43,2020-04-08,6708,428,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
44,2020-04-09,7480,496,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
45,2020-04-10,8216,540,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
46,2020-04-11,8419,560,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
47,2020-04-12,8755,588,1.0,,,,,Brazil,São Paulo,46289333,BRA,BR,BRSP,BRA.25_1
