,name,country_code,country,domains,web_pages
0,Centro Universitário Barao de Maua,BR,Brazil,baraodemaua.br,http://www.baraodemaua.br/
1,Universidade Braz Cubas,BR,Brazil,brazcubas.br,http://www.brazcubas.br/
2,Universidade Candido Mendes,BR,Brazil,candidomendes.br,http://www.candidomendes.br/
3,Universidade Castelo Branco,BR,Brazil,castelobranco.br,http://www.castelobranco.br/
4,Centro Universitário Claretiano,BR,Brazil,claretiano.edu.br,http://www.claretiano.edu.br/
5,Centro Regional Universitário de Espiríto Santo do Pinhal,BR,Brazil,creupi.br,http://www.creupi.br/
6,EMESCAM - Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória,BR,Brazil,emescam.br,http://www.emescam.br/
7,Universidade Federal de São Paulo,BR,Brazil,epm.br,http://www.epm.br/
8,Universidade Estácio de Sá,BR,Brazil,estacio.br,http://www.estacio.br/
9,FAAP - Fundação Armando Alvares Penteado,BR,Brazil,faap.br,http://www.faap.br/
10,Faculdades Integradas Curitiba,BR,Brazil,faculdadescuritiba.br,http://www.faculdadescuritiba.br/
11,FAE Business School - Faculdade de Administração e Economia,BR,Brazil,fae.edu,http://www.fae.edu/
12,Fundação Educacional de Ituverava,BR,Brazil,feituverava.com.br,http://www.feituverava.com.br/
13,Faculdade Integradas do Ceará,BR,Brazil,fic.br,http://www.fic.br/
14,Universidade do Amazonas,BR,Brazil,fua.br,http://www.fua.br/
15,Universidade Regional de Blumenau,BR,Brazil,furb.rct-sc.br,http://www.furb.rct-sc.br/
16,Universidade Federal do Rio Grande,BR,Brazil,furg.br,http://www.furg.br/
17,Instituto Nacional de Matemática Pura e Aplicada - IMPA,BR,Brazil,impa.br,http://www.impa.br/
18,Instituto Militar de Engenharia,BR,Brazil,ime.eb.mil.br,http://www.ime.eb.mil.br
19,Instituto Tecnológico de Aeronáutica,BR,Brazil,ita.br,http://www.ita.br/
20,Insper Instituto de Ensino e Pesquisa,BR,Brazil,insper.edu.br,https://www.insper.edu.br
21,Faculdade Italo Brasileira,BR,Brazil,italo.br,http://www.italo.br/
22,Universidade Mackenzie,BR,Brazil,mackenzie.br,http://www.mackenzie.br/
23,Instituto Mauá de Tecnologia,BR,Brazil,maua.br,http://www.maua.br/
24,Centro Universitário Newton Paiva,BR,Brazil,newtonpaiva.br,http://www.newtonpaiva.br/
25,Universidade de Tocantins,BR,Brazil,pop-to.rnp.br,http://www.pop-to.rnp.br/
26,Pontifícia Universidade Católica de Campinas,BR,Brazil,puccamp.br,http://www.puccamp.br/
27,Pontifícia Universidade Católica de Minas Gerais,BR,Brazil,pucminas.br,http://www.pucminas.br/
28,Pontificia Universidade Católica do Paraná,BR,Brazil,pucpr.br,http://www.pucpr.br/
29,Pontifícia Universidade Católica do Rio de Janeiro,BR,Brazil,puc-rio.br,http://www.puc-rio.br/
30,Pontifícia Universidade Católica do Rio Grande do Sul,BR,Brazil,pucrs.br,http://www.pucrs.br/
31,Pontifícia Universidade Católica de São Paulo,BR,Brazil,pucsp.br,http://www.pucsp.br/
32,Universidade São Judas Tadeu,BR,Brazil,saojudas.br,http://www.saojudas.br/
33,Universidade São Marcos,BR,Brazil,smarcos.br,http://www.smarcos.br/
34,Centro Universitário Senac,BR,Brazil,sp.senac.br,http://www.sp.senac.br/
35,Universidade Santa Cecília dos Bandeirantes,BR,Brazil,stcecilia.br,http://www.stcecilia.br/
36,Universidade Federal de Roraima,BR,Brazil,technet.com.br,http://www.technet.com.br/vestibular/
37,Faculdades Integradas Toledo,BR,Brazil,toledo.br,http://www.toledo.br/
38,Universidade Católica de Brasília,BR,Brazil,ucb.br,http://www.ucb.br/
39,Universidade Católica de Goiás,BR,Brazil,ucg.br,http://www.ucg.br/
40,Universidade Católica de Petrópolis,BR,Brazil,ucp.br,http://www.ucp.br/
41,Universidade Católica de Pelotas,BR,Brazil,ucpel.tche.br,http://www.ucpel.tche.br/
42,Universidade Católica de Salvador,BR,Brazil,ucsal.br,http://www.ucsal.br/
43,Universidade de Caxias do Sul,BR,Brazil,ucs.tche.br,http://www.ucs.tche.br/
44,Universidade do Estado de Santa Catarina,BR,Brazil,udesc.br,http://www.udesc.br/
45,Universidade Estadual do Ceará,BR,Brazil,uece.br,http://www.uece.br/
46,Universidade Estadual de Feira de Santana,BR,Brazil,uefs.br,http://www.uefs.br/
47,Universidade Estadual de Londrina,BR,Brazil,uel.br,http://www.uel.br/
48,Universidade Estadual do Maranhão,BR,Brazil,uema.br,http://www.uema.br/
49,Universidade Estadual de Maringá,BR,Brazil,uem.br,http://www.uem.br/
50,Universidade Estadual do Norte Fluminense,BR,Brazil,uenf.br,http://www.uenf.br/
51,Universidade Estadual da Paraíba,BR,Brazil,uepb.edu.br,http://www.uepb.edu.br/
52,Universidade Estadual de Ponta Grossa,BR,Brazil,uepg.br,http://www.uepg.br/
53,Universidade do Estado do Rio de Janeiro,BR,Brazil,uerj.br,http://www.uerj.br/
54,Universidade do Estado do Rio Grande do Norte,BR,Brazil,uern.br,http://www.uern.br/
55,Universidade Estadual Sudoeste da Bahia,BR,Brazil,uesb.br,http://www.uesb.br/
56,Universidade Estadual de Santa Cruz,BR,Brazil,uesc.br,http://www.uesc.br/
57,Universidade Estadual do Piauí,BR,Brazil,uespi.br,http://www.uespi.br/
58,Universidade Federal do ABC,BR,Brazil,ufabc.edu.br,http://www.ufabc.edu.br/
59,Universidade Federal do Acre,BR,Brazil,ufac.br,http://www.ufac.br/
60,Universidade Federal de Alagoas,BR,Brazil,ufal.br,http://www.ufal.br/
61,Universidade Federal da Bahia,BR,Brazil,ufba.br,http://www.ufba.br/
62,Universidade Federal do Ceará,BR,Brazil,ufc.br,http://www.ufc.br/
63,Universidade Federal de Campina Grande,BR,Brazil,ufcg.edu.br,http://www.ufcg.edu.br/
64,Universidade Federal do Espírito Santo,BR,Brazil,ufes.br,http://www.ufes.br/
65,Universidade Federal Fluminense,BR,Brazil,uff.br,http://www.uff.br/
66,Universidade Federal de Goiás,BR,Brazil,ufg.br,http://www.ufg.br/
67,Universidade Federal da Grande Dourados,BR,Brazil,ufgd.edu.br,http://www.ufgd.edu.br/
68,Universidade Federal de Juiz de Fora,BR,Brazil,ufjf.br,http://www.ufjf.br/
69,Universidade Federal de Lavras,BR,Brazil,ufla.br,http://www.ufla.br/
70,Universidade Federal do Maranhão,BR,Brazil,ufma.br,http://www.ufma.br/
71,Universidade Federal de Minas Gerais,BR,Brazil,"ufmg.br,dcc.ufmg.br",http://www.ufmg.br/
72,Universidade Federal dos Vales do Jequitinhonha e Mucuri,BR,Brazil,ufvjm.edu.br,http://www.ufvjm.edu.br
73,Universidade Federal de Itajubá,BR,Brazil,unifei.edu.br,https://unifei.edu.br/
74,Universidade Federal de São João del-Rei,BR,Brazil,ufsj.edu.br,https://www.ufsj.edu.br/
75,Universidade Federal do Triângulo Mineiro,BR,Brazil,uftm.edu.br,http://www.uftm.edu.br/
76,Universidade Federal de Mato Grosso do Sul,BR,Brazil,ufms.br,http://www.ufms.br/
